Name,URL1,URL2,First Category
Eva Martincov\u00e1,https://fr.wikipedia.org/?curid=1081069,https://fr.wikipedia.org/wiki/Eva Martincov\u00e1,Article \u00e0 illustrer Joueur de tennis
Beatrice Eli,https://fr.wikipedia.org/?curid=10820325,https://fr.wikipedia.org/wiki/Beatrice Eli,Article utilisant une Infobox
Ezequiel Morales,https://fr.wikipedia.org/?curid=10811787,https://fr.wikipedia.org/wiki/Ezequiel Morales,Wikip\u00e9dia:\u00e9bauche triathlon
Chelsea Hammond,https://fr.wikipedia.org/?curid=10818197,https://fr.wikipedia.org/wiki/Chelsea Hammond,Wikip\u00e9dia:\u00e9bauche athl\u00e9tisme
Lina \u0160altyt\u0117,https://fr.wikipedia.org/?curid=10890368,https://fr.wikipedia.org/wiki/Lina \u0160altyt\u0117,Article utilisant une Infobox
Ritika Singh,https://fr.wikipedia.org/?curid=10919433,https://fr.wikipedia.org/wiki/Ritika Singh,Article utilisant une Infobox
Wenke Kujala,https://fr.wikipedia.org/?curid=10919807,https://fr.wikipedia.org/wiki/Wenke Kujala,Wikip\u00e9dia:\u00e9bauche triathlon
Sage Watson,https://fr.wikipedia.org/?curid=10919917,https://fr.wikipedia.org/wiki/Sage Watson,Wikip\u00e9dia:\u00e9bauche athl\u00e8te canadien
Aliz\u00e9 Lim,https://fr.wikipedia.org/?curid=10918460,https://fr.wikipedia.org/wiki/Aliz\u00e9 Lim,Article utilisant une Infobox
Sondra Currie,https://fr.wikipedia.org/?curid=10918679,https://fr.wikipedia.org/wiki/Sondra Currie,Article \u00e0 illustrer Personnalit\u00e9 du cin\u00e9ma
Kenza Dahmani,https://fr.wikipedia.org/?curid=10918279,https://fr.wikipedia.org/wiki/Kenza Dahmani,Wikip\u00e9dia:\u00e9bauche athl\u00e8te alg\u00e9rien
Shruti Haasan,https://fr.wikipedia.org/?curid=10882736,https://fr.wikipedia.org/wiki/Shruti Haasan,Article utilisant une Infobox
Laetitia Velma,https://fr.wikipedia.org/?curid=10879046,https://fr.wikipedia.org/wiki/Laetitia Velma,Wikip\u00e9dia:Tentative d'adoption en juin 2021
Hansika Motwani,https://fr.wikipedia.org/?curid=10880282,https://fr.wikipedia.org/wiki/Hansika Motwani,Article utilisant une Infobox
Petra Ritter,https://fr.wikipedia.org/?curid=1087513,https://fr.wikipedia.org/wiki/Petra Ritter,Article \u00e0 illustrer Joueur de tennis
Eva \u0160v\u00edglerov\u00e1,https://fr.wikipedia.org/?curid=1087541,https://fr.wikipedia.org/wiki/Eva \u0160v\u00edglerov\u00e1,Article \u00e0 illustrer Joueur de tennis
Eda Tu\u011fsuz,https://fr.wikipedia.org/?curid=10872691,https://fr.wikipedia.org/wiki/Eda Tu\u011fsuz,Wikip\u00e9dia:\u00e9bauche athl\u00e8te turc
Christina Clemons,https://fr.wikipedia.org/?curid=10876526,https://fr.wikipedia.org/wiki/Christina Clemons,Wikip\u00e9dia:\u00e9bauche athl\u00e8te am\u00e9ricain
Gail Laurence,https://fr.wikipedia.org/?curid=10891351,https://fr.wikipedia.org/wiki/Gail Laurence,Wikip\u00e9dia:\u00e9bauche triathlon
Julie H\u00e9bert,https://fr.wikipedia.org/?curid=10888896,https://fr.wikipedia.org/wiki/Julie H\u00e9bert,Article utilisant une Infobox
Natalie Grandin,https://fr.wikipedia.org/?curid=1091414,https://fr.wikipedia.org/wiki/Natalie Grandin,Article utilisant une Infobox
Liste des m\u00e9daill\u00e9s aux Jeux olympiques d'\u00e9t\u00e9 de 1968,https://fr.wikipedia.org/?curid=10914911,https://fr.wikipedia.org/wiki/Liste des m\u00e9daill\u00e9s aux Jeux olympiques d'\u00e9t\u00e9 de 1968,Page utilisant une pr\u00e9sentation en colonnes avec un nombre fixe de colonnes
Miwako Okuda,https://fr.wikipedia.org/?curid=1091347,https://fr.wikipedia.org/wiki/Miwako Okuda,Article utilisant une Infobox
Jennifer Russell,https://fr.wikipedia.org/?curid=1091701,https://fr.wikipedia.org/wiki/Jennifer Russell,Article \u00e0 illustrer Joueur de tennis
Wang Shi-ting,https://fr.wikipedia.org/?curid=1089497,https://fr.wikipedia.org/wiki/Wang Shi-ting,Article utilisant une Infobox
Wynne Prakusya,https://fr.wikipedia.org/?curid=1089511,https://fr.wikipedia.org/wiki/Wynne Prakusya,Article \u00e0 illustrer Joueur de tennis
Christiane Jolissaint,https://fr.wikipedia.org/?curid=1089383,https://fr.wikipedia.org/wiki/Christiane Jolissaint,Article utilisant une Infobox
Seiko Okamoto,https://fr.wikipedia.org/?curid=1089601,https://fr.wikipedia.org/wiki/Seiko Okamoto,Article \u00e0 illustrer Joueur de tennis
Kyra Jefferson,https://fr.wikipedia.org/?curid=10892339,https://fr.wikipedia.org/wiki/Kyra Jefferson,Article \u00e0 illustrer Athl\u00e8te
Andrea Betzner,https://fr.wikipedia.org/?curid=1089699,https://fr.wikipedia.org/wiki/Andrea Betzner,Article \u00e0 illustrer Joueur de tennis
Akemi Nishiya,https://fr.wikipedia.org/?curid=1089721,https://fr.wikipedia.org/wiki/Akemi Nishiya,Article \u00e0 illustrer Joueur de tennis
Lucy Bartholomew,https://fr.wikipedia.org/?curid=10904707,https://fr.wikipedia.org/wiki/Lucy Bartholomew,Page utilisant P569
