Name,URL1,URL2,First Category
El\u017cbieta Krzesi\u0144ska,https://fr.wikipedia.org/?curid=1919511,https://fr.wikipedia.org/wiki/El\u017cbieta Krzesi\u0144ska,Article utilisant une Infobox
Naide Gomes,https://fr.wikipedia.org/?curid=1930314,https://fr.wikipedia.org/wiki/Naide Gomes,Article utilisant une Infobox
Nickiesha Wilson,https://fr.wikipedia.org/?curid=1929831,https://fr.wikipedia.org/wiki/Nickiesha Wilson,Wikip\u00e9dia:\u00e9bauche athl\u00e8te jama\u00efcain
Davita Prendergast,https://fr.wikipedia.org/?curid=1929891,https://fr.wikipedia.org/wiki/Davita Prendergast,Wikip\u00e9dia:\u00e9bauche athl\u00e8te jama\u00efcain
Marina Aitova,https://fr.wikipedia.org/?curid=1929359,https://fr.wikipedia.org/wiki/Marina Aitova,Article utilisant une Infobox
Yekaterina Savtchenko,https://fr.wikipedia.org/?curid=1929529,https://fr.wikipedia.org/wiki/Yekaterina Savtchenko,Wikip\u00e9dia:\u00e9bauche athl\u00e8te russe
Vita Palamar,https://fr.wikipedia.org/?curid=1929601,https://fr.wikipedia.org/wiki/Vita Palamar,Wikip\u00e9dia:\u00e9bauche athl\u00e8te ukrainien
Chiara Rosa,https://fr.wikipedia.org/?curid=1921897,https://fr.wikipedia.org/wiki/Chiara Rosa,Article utilisant une Infobox
Britta Johansson Norgren,https://fr.wikipedia.org/?curid=1938758,https://fr.wikipedia.org/wiki/Britta Johansson Norgren,Article utilisant une Infobox
Divine (Glenn Milstead),https://fr.wikipedia.org/?curid=193881,https://fr.wikipedia.org/wiki/Divine (Glenn Milstead),Article contenant un appel \u00e0 traduction en anglais
Louise Ritter,https://fr.wikipedia.org/?curid=1932450,https://fr.wikipedia.org/wiki/Louise Ritter,Wikip\u00e9dia:\u00e9bauche athl\u00e8te am\u00e9ricain
Maria Hjorth,https://fr.wikipedia.org/?curid=1937457,https://fr.wikipedia.org/wiki/Maria Hjorth,Article utilisant une Infobox
Shereefa Lloyd,https://fr.wikipedia.org/?curid=1932346,https://fr.wikipedia.org/wiki/Shereefa Lloyd,Wikip\u00e9dia:\u00e9bauche athl\u00e8te jama\u00efcain
