file_name,column_type
instance_26_v4.json,PERSON
instance_26_v4.json,UNKNOWN
instance_26_v4.json,UNKNOWN
instance_26_v4.json,UNKNOWN
instance_26_v4.json,PERSON
instance_26_v4.json,UNKNOWN
instance_26_v4.json,PERSON
instance_26_v4.json,UNKNOWN
instance_26_v4.json,UNKNOWN
instance_26_v4.json,UNKNOWN
instance_26_v4.json,PERSON
instance_26_v4.json,UNKNOWN
instance_26_v4.json,PERSON
instance_26_v4.json,UNKNOWN
instance_26_v4.json,UNKNOWN
instance_26_v4.json,UNKNOWN
instance_27_v4.json,ORG
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,TIME
instance_27_v4.json,RANGE
instance_27_v4.json,ORG
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,TIME
instance_27_v4.json,RANGE
instance_27_v4.json,ORG
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,TIME
instance_27_v4.json,RANGE
instance_27_v4.json,ORG
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,TIME
instance_27_v4.json,RANGE
instance_27_v4.json,ORG
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,TIME
instance_27_v4.json,RANGE
instance_27_v4.json,ORG
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,TIME
instance_27_v4.json,RANGE
instance_27_v4.json,ORG
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,TIME
instance_27_v4.json,RANGE
instance_27_v4.json,ORG
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,TIME
instance_27_v4.json,RANGE
instance_27_v4.json,ORG
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,TIME
instance_27_v4.json,RANGE
instance_27_v4.json,ORG
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,TIME
instance_27_v4.json,RANGE
instance_27_v4.json,ORG
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,TIME
instance_27_v4.json,RANGE
instance_27_v4.json,ORG
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,CARDINAL
instance_27_v4.json,TIME
instance_27_v4.json,RANGE
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
